7,2,2,300,0
8,2,1,150,0
9,2,0.5,75,0
7,3,4,3000,0
8,3,2,1500,0
9,3,1,750,0
8,4,2,300,0
9,4,1,150,0
10,4,0.5,75,0
8,5,4,3000,0
9,5,2,1500,0
10,5,1,750,0
7,6,2,100,0
8,6,1,50,0
9,6,0.5,25,0
7,7,4,1000,0
8,7,2,500,0
9,7,1,250,0
7,8,2,300,0
8,8,1,150,0
9,8,0.5,75,0
7,9,4,3000,0
8,9,2,1500,0
9,9,1,750,0
8,10,0.4,80,-1
9,10,0.2,40,-1
10,10,0.15,20,-1
9,11,0.5,100,-1
10,11,0.25,50,-1
11,11,0.125,25,-1
10,12,0.6,400,-1
11,12,0.3,200,-1
12,12,0.15,100,-1
8,13,0.2,40,-1
9,13,0.1,20,-1
10,13,0.05,10,-1
8,14,0.1,100,-1
9,14,0.05,50,-1
10,14,0.025,25,-1
7,15,2,20,0
8,15,1,10,0
9,15,0.5,5,0
7,16,0,30,0
8,16,0,15,0
9,16,0,7.5,0
9,17,0,150,0
10,17,0,75,0
11,17,0,37.5,0
11,18,0.1,250,3.6
12,18,0.05,125,3.6
13,18,0.025,62.5,1.8
11,19,0.008,10,0.01
12,19,0.004,5,0.01
13,19,0.002,2.5,0.01
14,19,0.001,1.25,0.01
15,19,0.0005,0.625,0.01
