482,1,50,1,0
481,0,30,0.2,0
472,9,1,100000,0
472,10,1,10000,0
472,11,1,1000,0
472,12,1,500,0
472,13,1,250,0
466,6,5.8,0.1,10
466,7,5.8,0.5,10
465,6,5.8,0.1,10
465,7,5.8,0.5,10
461,6,6.5,0.4,13
461,7,6.5,2,13
469,6,67,172,0
469,7,67,860,0
460,6,6,0.24,9
460,7,6,1.2,9
459,6,6,0.3,11
459,7,6,1.5,11
462,6,6.5,0.6,13
462,7,6.5,3,13
471,6,10,0.4,13
471,7,10,2,13
458,6,8.5,0,0
458,7,8.5,0,0
467,6,0.58,0.02,13
467,7,0.58,0.1,13
470,6,12,3,13
470,7,12,15,13
468,6,9.6,0.02,13
468,7,9.6,0.1,13
463,6,4.2,0.1,13
463,7,4.2,0.5,13
464,6,4.2,0.1,13
464,7,4.2,0.5,13
,6,,80000,
,7,,80000,
