5026,7,50,1,50000,0.01
5026,8,20,0.4,20000,0.01
5026,9,10,0.2,10000,0.01
5027,7,50,1,50000,0.01
5027,8,20,0.4,20000,0.01
5027,9,10,0.2,10000,0.01
5028,9,10,0.2,10000,0.01
5028,10,2.5,0.05,2500,0.01
5028,11,0.5,0.01,500,0.01
5029,9,5,0.1,5000,0.01
5029,10,1.25,0.025,1250,0.01
5029,11,0.25,0.005,250,0.01
5030,9,5,0.1,5000,0.01
5030,10,1.25,0.025,1250,0.01
5030,11,0.25,0.005,250,0.01
5031,9,5,0.1,5000,0.01
5031,10,1.25,0.025,1250,0.01
5031,11,0.25,0.005,250,0.01
5032,11,50,1,50000,0.01
5032,12,20,0.4,20000,0.01
5032,13,10,0.2,10000,0.01
