0.03,0.5
0.07,1
0.13,1.5
0.2,2
0.27,2.5
0.4,3
0.6,4
0.8,5
1.1,6
1.3,7
1.6,8
1.9,9
2.3,10
2.6,11
2.9,12
3.3,13
3.6,14
4,15
4.4,16
4.8,17
5.2,18
5.7,19
6.1,20
6.6,21
7.1,22
7.5,23
8.1,24
8.5,25
9.6,27
12,30
18,40
25,50
32,60
45,75
69,100
96,125
126,150
158,175
189,200
269,250
354,300
544,400
760,500
1001,600
1541,800
2151,1000
2831,1200
3376,1500
6081,2000
8496,2500
11181,3000
17186,4000
24111,5000
35651,6500
48651,8000
68026,10000
89447,12000
125001,15000
192421,20000
268961,25000
353451,30000
544336,40000
760611,50000
1000000.1,60000
