5048,3,20,0.4,50,0
5048,4,30,0.6,100,0
5048,5,30,0.6,200,0
5048,6,20,0.4,500,0.01
5048,7,20,0.4,1000,0.01
5053,6,20,0.4,1000,0.01
5053,7,10,0.2,2000,0.01
5053,8,5,0.1,1000,0.01
5054,6,10,0.2,500,0.01
5054,7,5,0.1,1000,0.01
5054,8,2.5,0.05,500,0.01
5055,7,40,0.8,50000,0.01
5055,8,20,0.4,25000,0.01
5055,9,10,0.2,12500,0.01
5056,7,1,0.02,200,0.01
5056,8,0.5,0.01,100,0.01
5056,9,0.25,0.005,50,0.01
5057,7,1,0.02,750,0.01
5052,6,5,0.1,200,0.01
5058,7,25,0.5,20000,0.25
5058,8,10,0.2,4000,0.25
5058,9,5,0.1,2000,0.25
5058,10,2.5,0.05,1000,0.25
5058,11,1.25,0.025,500,0.25
