0.25,1,0.05,2,0.01,3,0.005,4,0.002,5,0.001,5
0.25,1,0.1,2,0.02,3,0.01,4,0.005,6,0.002,6
0.25,1,0.1,2,0.02,3,0.01,4,0.005,6,0.002,6
0.25,2,0.1,3,0.05,4,0.02,5,0.01,6,0.005,7
0.25,2,0.1,3,0.05,4,0.05,5,0.02,6,0.01,7
0.25,3,0.1,4,0.05,5,0.05,6,0.02,7,0.02,8
0.25,3,0.1,4,0.05,5,0.05,6,0.02,7,0.02,8
0.5,3,0.25,4,0.1,5,0.1,6,0.05,7,0.02,8
0.5,3,0.25,4,0.1,5,0.1,6,0.05,7,0.02,8
0.75,4,0.5,5,0.25,6,0.1,6,0.05,7,0.02,8
0.75,4,0.5,5,0.25,6,0.1,6,0.05,7,0.02,8
1,4,0.75,5,0.5,6,0.25,6,0.1,7,0.05,8
