5079,5,20000,400,4000000,200,2
5079,6,8000,160,3000000,100,2
5079,8,4000,80,2000000,10,2
5079,9,2000,40,1000000,10,2
5079,10,1000,20,500000,10,2
5080,5,2500,50,400000,2,3
5080,6,1000,20,300000,1,3
5080,8,500,10,200000,1,3
5080,9,250,5,100000,1,3
5080,10,125,2.5,50000,1,3
5081,5,1000,20,80000,2,4
5081,6,400,8,60000,1,4
5081,8,200,4,40000,0.1,4
5081,9,100,2,20000,0.1,4
5081,10,50,1,10000,0.1,4
5082,5,200,4,30000,0.2,5
5082,6,80,1.6,22500,0.1,5
5082,8,40,0.8,15000,0.01,5
5082,9,20,0.4,7500,0.01,5
5082,10,10,0.2,3750,0.01,5
5083,5,10,2,2000,0.2,6
5083,6,4,0.08,1500,0.1,6
5083,8,2,0.04,1000,0.01,6
5083,9,1,0.02,500,0.01,6
5083,10,0.5,0.01,250,0.01,6
