613,5,60,3,100,0
614,5,2000,40,400,1
614,6,1500,30,800,1
614,7,1000,20,4000,1
682,5,2000,40,400,2
682,6,1500,30,800,2
682,7,1000,20,4000,2
615,5,150,3,50,0.05
615,6,100,2,100,0.05
615,7,50,1,400,0.05
615,8,25,0.5,200,0.05
616,6,600,1.2,300,0.125
616,7,300,0.6,1500,0.125
617,6,1550,30,1000,1
617,7,1100,20,4000,1
618,6,300,6,80,0.2
618,7,200,4,400,0.2
619,6,400,8,800,1
620,6,40000,800,200000,500
621,7,400,8,8000,0
622,7,200,8,80,0.2
622,8,100,4,80,0.2
622,9,50,2,40,0.2
622,10,25,1,20,0.2
623,8,50,2,200,2
624,8,0,0,0,0
625,11,2000,40,5000,0
626,12,2000,40,5000,0
678,12,2000,50,8000,0
