450,0,6,1.2,1,0
451,0,6,1.2,1,0
452,5,2.5,0.15,1,1
452,6,1.5,0.15,2,1
452,7,1,0.15,5,0
452,8,0.5,0.15,5,-2
453,5,1.25,0.15,2,2
453,6,0.75,0.15,4,2
453,7,0.5,0.15,10,1
453,8,0.25,0.15,10,-1
454,5,0.25,0.15,5,3
454,6,0.15,0.15,10,3
454,7,0.1,0.15,25,2
454,8,0.05,0.15,25,0
455,5,5,0.15,2,0
455,6,3,0.15,4,0
455,7,2,0.15,10,-1
455,8,1,0.15,10,-3
456,5,2.5,0.15,4,1
456,6,1.5,0.15,8,1
456,7,1,0.15,20,0
456,8,0.5,0.15,20,-2
457,5,0.5,0.15,10,1
457,6,0.3,0.15,20,1
457,7,0.2,0.15,50,0
457,8,0.1,0.15,50,-1
473,9,500,5,5000,100
473,10,200,2,2000,100
473,11,100,1,1000,100
473,12,50,0.5,500,100
473,13,25,0.25,250,100
