5066,6,10,0.2,400,0.01
5066,7,1,0.02,100,0.01
5066,8,0.5,0.01,50,0.01
5068,7,1,0.02,100,0.01
5068,8,0.5,0.01,50,0.01
5069,7,1.5,0.03,150,0.01
5069,8,0.75,0.015,75,0.01
5072,6,100,4,20000,500
5072,7,40,0.8,8000,200
5072,8,20,0.4,4000,100
5072,9,10,0.2,2000,50
5072,10,5,0.1,1000,25
5073,7,100,4,100000,10
5073,8,40,0.8,40000,4
5073,9,20,0.4,20000,2
5073,10,10,0.2,10000,1
5073,11,5,0.1,5000,0.5
5074,7,50,1,100000,0.25
5074,8,20,0.4,40000,0.25
5074,9,10,0.2,20000,0.25
5075,6,20,1,100,0
5119,6,20,1,100,0
5120,6,20,1,100,0
5121,6,20,1,100,0
5122,6,20,1,100,0
5123,6,20,1,100,0
5124,6,20,1,100,0
5076,6,0,0,0,0
5077,7,400,8,40000,10
5077,8,150,3,15000,5
5077,9,50,1,5000,2.5
5078,7,75,1.5,500000,0.01
5078,8,20,0.4,50000,0.01
5078,9,10,0.2,25000,0.01
