1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,1,-5,1,-5
6,1,-4,1,-4
7,1,-3,1,-3
8,1,-3,1,-2
9,1,-2,1,-1
10,1,-2,1,0
11,1,-1,1,1
12,1,-1,1,2
13,1,0,2,-1
14,1,0,2,0
15,1,1,2,1
16,1,1,2,2
17,1,2,3,-1
18,1,2,3,0
19,2,-1,3,1
20,2,-1,3,2
21,2,0,4,-1
22,2,0,4,0
23,2,1,4,1
24,2,1,4,2
25,2,2,5,-1
26,2,2,5,0
27,3,-1,5,1
28,3,-1,5,1
29,3,0,5,2
30,3,0,5,2
31,3,1,6,-1
32,3,1,6,-1
33,3,2,6,0
34,3,2,6,0
35,4,-1,6,1
36,4,-1,6,1
37,4,0,6,2
38,4,0,6,2
39,4,1,7,-1
40,4,1,7,-1
41,4,1,7,-1
42,4,1,7,-1
43,4,1,7,-1
44,4,1,7,-1
45,5,0,7,1
46,5,0,7,1
47,5,0,7,1
48,5,0,7,1
49,5,0,7,1
50,5,2,8,-1
51,5,2,8,-1
52,5,2,8,-1
53,5,2,8,-1
54,5,2,8,-1
55,6,0,8,1
56,6,0,8,1
57,6,0,8,1
58,6,0,8,1
59,6,0,8,1
60,7,-1,9,0
61,7,-1,9,0
62,7,-1,9,0
63,7,-1,9,0
64,7,-1,9,0
65,7,1,9,2
66,7,1,9,2
67,7,1,9,2
68,7,1,9,2
69,7,1,9,2
70,8,0,10,0
71,8,0,10,0
72,8,0,10,0
73,8,0,10,0
74,8,0,10,0
75,8,2,10,2
76,8,2,10,2
77,8,2,10,2
78,8,2,10,2
79,8,2,10,2
80,9,0,11,0
81,9,0,11,0
82,9,0,11,0
83,9,0,11,0
84,9,0,11,0
85,9,2,11,2
86,9,2,11,2
87,9,2,11,2
88,9,2,11,2
89,9,2,11,2
90,10,0,12,0
91,10,0,12,0
92,10,0,12,0
93,10,0,12,0
94,10,0,12,0
95,10,2,12,2
96,10,2,12,2
97,10,2,12,2
98,10,2,12,2
99,10,2,12,2
100,11,0,13,0
