422,7,15,3,60,50,20,0,0.05,50,50,50,2.35,-1,1.2
420,7,10,2,40,50,20,0,0.06,50,50,50,2.35,-1,1.2
421,7,4,1,15,50,50,0,0.07,50,50,50,2.35,462,1
422,8,7,2,25,50,12,0,0.045,50,50,50,2.35,-1,1.2
420,8,4,1,15,50,30,0,0.055,50,50,50,2.35,-1,1.2
421,8,2.5,0.5,10,50,80,0,0.06,50,50,50,2.35,462,1
423,8,10,1,45,50,40,500,0.2,0,0,0,0.5,467,1
424,8,6,0.4,28,50,200,500,0.225,0,0,0,0.5,467,1
423,9,8,1,35,50,20,500,0.18,0,0,0,0.5,467,1
424,9,6,0.4,28,50,80,500,0.2,0,0,0,0.5,467,1
423,10,6,0.6,27,50,20,500,0.15,0,0,0,0.5,467,1
424,10,4.5,0.3,21,50,60,500,0.18,0,0,0,0.5,467,1
