436,1,50,25,125,20,50,1000,0,25
436,2,50,25,125,20,50,1000,0,25
436,3,50,25,125,20,50,1000,0,25
436,4,50,25,125,20,50,1000,0,25
436,5,10,5,25,50,50,1000,0,25
436,6,10,5,25,50,50,1000,0,25
436,7,10,5,25,50,50,1000,0,25
436,8,2,1,5,50,50,1000,0,25
433,4,-1,2,500,100,50,0,5,25
433,7,-1,0.2,500,100,50,0,5,25
433,8,-1,0.02,500,100,50,0,5,25
435,4,50,25,125,2,50,0,0,25
437,10,20,10,50,100,50,4000,0,0
438,10,30,15,75,50,50,4000,0,0
439,10,25,12,65,100,50,4000,0,0
440,10,16,8,40,200,50,4000,0,0
