426,7,-1,8,20000,200,50,2,5,400000,20000,80000,1000
426,8,-1,4,4000,100,50,2,5,200000,20000,80000,1000
426,9,-1,1,1000,40,50,2,5,40000,20000,80000,10000
426,10,-1,1,1000,20,50,2,5,0,20000,80000,10000
427,6,1000,200,4000,5000,100,14,0,0,2000,0,0
427,7,300,50,1250,1000,100,14,0,0,2000,0,0
427,8,50,10,200,50,100,14,0,0,2000,0,0
427,9,20,5,75,50,100,14,0,0,2000,0,0
427,10,12,2,50,50,100,14,0,0,2000,0,0
427,11,6,1,25,50,100,14,0,0,2000,0,0
428,8,-1,8,20,200,100,0.5,5,0,20000,0,0
428,9,12,2,50,200,100,1,0,0,20000,0,0
428,10,6,1,25,200,100,2,0,0,20000,0,0
428,11,4,0.4,18,200,100,5,0,0,20000,0,0
428,12,2,0.2,9,200,100,10,0,0,20000,0,0
429,9,-1,1,20000,200,50,200,5,1000000,20000,0,0
429,10,-1,0.2,2000,50,50,200,5,200000,20000,0,0
429,11,-1,0.2,2000,25,50,200,5,100000,20000,0,0
430,11,-1,0.1,4000,20,50,2.5,5,200000,20000,0,0
430,1,-1,0.05,2000,20,50,5,5,100000,20000,0,0
430,1,-1,0.05,0,20,50,5,5,0,20000,0,0
431,14,-1,0.02,0,30,50,9999,5,0,20000,0,0
432,16,1,0.01,4.95,2,50,9999,0,0,20000,0,0
