5001,6,10,200,50,10,0.1
5001,7,2,400,50,30,0.01
5001,8,1,200,50,100,0.01
5001,9,0.5,100,50,1000,0.01
5001,10,0.25,50,50,5000,0.01
5071,6,10,1000,50,10,0.1
5071,7,2,2000,50,30,0.01
5071,8,1,1000,50,100,0.01
5071,9,0.5,500,50,1000,0.01
5071,10,0.25,250,50,5000,0.01
5002,6,50,1000,50,100,0.1
5002,7,10,2000,50,300,0.01
5002,8,5,1000,50,1000,0.01
5002,9,2.5,500,50,10000,0.01
5002,10,1.25,250,50,50000,0.01
5004,6,20,200,50,10,0.1
5004,7,4,400,50,30,0.01
5004,8,2,200,50,100,0.01
5004,9,1,100,50,1000,0.01
5004,10,0.5,50,50,5000,0.01
5005,6,20,400,50,10,0.1
5005,7,4,800,50,30,0.01
5005,8,2,200,50,100,0.01
5005,9,1,100,50,1000,0.01
5005,10,0.5,50,50,5000,0.01
5003,6,100,2000,50,10,0.1
5003,7,20,4000,50,30,0.01
5003,8,10,2000,50,100,0.01
5003,9,5,1000,50,1000,0.01
5003,10,2.5,500,50,5000,0.01
5006,6,10,200,50,0.01,0.1
5006,7,2,400,50,0.03,0.01
5006,8,1,200,50,0.1,0.01
5006,9,0.5,100,50,1,0.01
5006,10,0.25,50,50,5,0.01
5007,6,10000,200000,50,10,0.1
5007,7,2000,400000,50,30,0.01
5007,8,1000,200000,50,100,0.01
5007,9,500,100000,50,1000,0.01
5007,10,250,50000,50,5000,0.01
5008,6,100,2500,50,20,1
5008,7,20,5000,50,60,0.1
5008,8,10,2500,50,200,0.1
5008,9,5,1250,50,2000,0.1
5008,10,2.5,625,50,10000,0.1
5009,6,1200,80000,50,20,10
5009,7,240,160000,50,60,1
5009,8,120,80000,50,200,1
5009,9,60,40000,50,2000,1
5009,10,30,200000,50,10000,1
5009,11,15,100000,50,15000,1
5009,12,7.5,50000,50,20000,1
5010,6,10,200,50,20,0.1
5010,7,2,400,50,60,0.01
5010,8,1,200,50,200,0.01
5010,9,0.5,100,50,2000,0.01
5010,10,0.25,50,50,10000,0.01
